item_id	issuer_name	item_name
2318	哔哩哔哩数字周边	Mixsoul撕放本我3
2322	哔哩哔哩数字周边	Mixsoul撕放本我3典藏光栅卡
2331	哔哩哔哩数字周边	Mixsoul撕放本我3神兽系列
2346	哔哩哔哩数字周边	星时影迹·装扮赏第一名限定
2352	哔哩哔哩数字周边	轮回之息·装扮赏第二名限定
2354	哔哩哔哩数字周边	赤夜蔷薇·装扮赏第三名限定
2356	哔哩哔哩数字周边	碎镜天鹅·装扮赏第4-10名限定(22)
2357	哔哩哔哩数字周边	碎镜天鹅·装扮赏第4-10名限定(33)
2358	哔哩哔哩数字周边	坠落·空·装扮赏第11-50名限定
2359	哔哩哔哩数字周边	元气小姐姐·装扮赏第51-100名限定
2362	哔哩哔哩	我的专辑
2381	哔哩哔哩数字周边	Mixsoul撕放本我·黑白界典藏光栅卡
2387	哔哩哔哩数字周边	幻星乐园动态音乐特典-萤之夜
2399	哔哩哔哩数字藏品	全图鉴出框头像-机动战士高达SEED-自由高达
2400	哔哩哔哩数字周边	全图鉴出框头像-新世纪福音战士收藏集-零＆零号机
2401	哔哩哔哩数字周边	全图鉴出框头像-新世纪福音战士收藏集-明日香＆2号机
2402	哔哩哔哩数字周边	全图鉴出框头像-新世纪福音战士收藏集-薰＆Mark.06
2403	哔哩哔哩数字周边	全图鉴出框头像-新世纪福音战士收藏集-真嗣＆初号机
2404	哔哩哔哩数字周边	全图鉴出框头像-新世纪福音战士收藏集-真理＆5号机
2405	哔哩哔哩数字周边	浪漫限定-青鸢
2406	哔哩哔哩数字周边	浪漫限定-露露
2407	哔哩哔哩数字周边	浪漫限定-麦麦
2411	哔哩哔哩数字周边	浪漫限定-萌爱
2415	哔哩哔哩数字周边	浪漫限定-慕慕
2425	哔哩哔哩数字周边	灵兔出动-青鸢
2426	哔哩哔哩数字周边	灵兔出动-露露
2427	哔哩哔哩数字周边	灵兔出动-麦麦
2428	哔哩哔哩数字周边	灵兔出动-萌爱
2441	哔哩哔哩数字周边	灵兔出动-慕慕
2452	哔哩哔哩数字周边	全图鉴出框头像-幻境序曲-丘比特·22
2453	哔哩哔哩数字周边	全图鉴出框头像-幻境序曲-丘比特·33
2454	哔哩哔哩数字周边	全图鉴出框头像-幻境序曲-预言家·22
2455	哔哩哔哩数字周边	全图鉴出框头像-幻境序曲-预言家·33
2456	哔哩哔哩数字周边	全图鉴出框头像-幻境序曲-白狼王·22
2457	哔哩哔哩数字周边	全图鉴出框头像-幻境序曲-白狼王·33
2458	哔哩哔哩数字周边	全图鉴出框头像-异世集-秋光璀璨·22
2459	哔哩哔哩数字周边	全图鉴出框头像-异世集-秋光璀璨·33
2463	哔哩哔哩数字周边	全图鉴出框-红蓝巴萨-新赛季征程-梅西
2464	哔哩哔哩数字周边	全图鉴出框-红蓝巴萨-再次启航-梅西
2465	哔哩哔哩数字周边	全图鉴出框头像-普通小狗收藏集-秘密花园
2466	哔哩哔哩数字周边	全图鉴出框头像-星空列车与白的旅行收藏集-星空列车与白
2467	哔哩哔哩数字周边	全图鉴出框头像-装扮小姐姐收藏集-百变衣橱
2468	哔哩哔哩数字周边	全图鉴出框头像-装扮小姐姐收藏集-福龙衔珠
2469	哔哩哔哩数字周边	全图鉴出框头像-装扮小姐姐收藏集-幻梦夏日
2470	哔哩哔哩数字周边	全图鉴出框头像-装扮小姐姐收藏集-生日庆典
2471	哔哩哔哩数字周边	全图鉴出框头像-2024明日方舟音律联觉-不觅浪尘
2472	哔哩哔哩数字周边	全图鉴出框头像-饿殍：明末千里行-良田满穗
2473	哔哩哔哩数字周边	全图鉴出框头像-老骚豆腐收藏集-智斗迷局
2474	哔哩哔哩数字周边	全图鉴出框头像-主播女孩重度依赖Ⅱ-霓虹幻海
2496	哔哩哔哩数字周边	全图鉴出框头像-希丝奈cisne收藏集-爱与罚的赞歌
2497	哔哩哔哩数字周边	全图鉴出框头像-眞白花音收藏集-百变萌菜
2498	哔哩哔哩数字周边	全图鉴出框头像-折原露露收藏集-春色撩人
2499	哔哩哔哩数字周边	全图鉴出框头像-黎歌Neeko收藏集-幻夏恋歌
2500	哔哩哔哩数字周边	全图鉴出框头像-泠鸢yousa收藏集-记忆色彩
2501	哔哩哔哩数字周边	全图鉴出框头像-雪狐桑收藏集-倾心慕风
2502	哔哩哔哩数字周边	全图鉴出框头像-東雪蓮音乐收藏集-一蓮托生
2503	哔哩哔哩数字周边	全图鉴出框头像-陆鳐LuLu收藏集-与你入梦
2504	哔哩哔哩数字周边	全图鉴出框头像-永雏塔菲美女集-仲夏集
2505	哔哩哔哩数字周边	全图鉴出框头像-安晴Ankii生活集-最初幻想
2506	哔哩哔哩数字周边	全图鉴出框头像-RO姬偶像收藏集-RO姬·仲夏光影
2507	哔哩哔哩数字周边	全图鉴出框头像-RO姬偶像收藏集-RO姬偶像收藏集
2508	哔哩哔哩数字周边	全图鉴出框头像-卡拉彼丘收藏集-卡丘世界-同沐春风·米雪儿
2509	哔哩哔哩数字周边	全图鉴出框头像-卡拉彼丘收藏集-卡丘世界-海滨奇遇·伊薇特
2510	哔哩哔哩数字周边	全图鉴出框头像-卡拉彼丘收藏集-卡丘世界-激扬碧浪·玛德蕾娜
2511	哔哩哔哩数字周边	全图鉴出框头像-卡拉彼丘收藏集-夏日竞逐嘉年华-浮光拾贝·芙拉薇娅
2512	哔哩哔哩数字周边	全图鉴出框头像-卡拉彼丘收藏集-夏日竞逐嘉年华-泳池派对·加拉蒂亚
2516	哔哩哔哩数字周边	全图鉴出框头像-阿萨Aza收藏集-生日邀约
2517	哔哩哔哩数字周边	全图鉴出框头像-阿萨Aza收藏集-昼夜长梦
2518	哔哩哔哩数字周边	全图鉴出框头像-洛天依·收藏集-再生
2519	哔哩哔哩数字周边	全图鉴出框头像-洛天依·收藏集-歌行宇宙
2520	哔哩哔哩数字周边	全图鉴出框头像-初音未来单人收藏集-来岁昭昭
2521	哔哩哔哩数字周边	全图鉴出框头像-A-SOUL绽放收藏集-时序系列-乃琳
2522	哔哩哔哩数字周边	全图鉴出框头像-A-SOUL绽放收藏集-时序系列-嘉然
2523	哔哩哔哩数字周边	全图鉴出框头像-A-SOUL绽放收藏集-时序系列-贝拉
2524	哔哩哔哩数字周边	全图鉴出框头像-A-SOUL绽放收藏集-时序系列-向晚
2525	哔哩哔哩数字周边	全图鉴出框头像-hololive0期生收藏集-响彻星辰星街彗星
2526	哔哩哔哩数字周边	全图鉴出框头像-hololive0期生收藏集-闪耀偶像时乃空
2527	哔哩哔哩数字周边	全图鉴出框头像-hololive0期生收藏集-繁樱盛开樱巫女
2528	哔哩哔哩数字周边	全图鉴出框头像-hololive0期生收藏集-猫咪时刻AZKi
2529	哔哩哔哩数字周边	全图鉴出框头像-hololive0期生收藏集-萝卜子
2530	哔哩哔哩数字周边	全图鉴出框头像-良辰共此曲-粉蔷
2531	哔哩哔哩数字周边	全图鉴出框头像-良辰共此曲-墨竹
2533	哔哩哔哩数字周边	全图鉴出框头像-良辰共此曲-落英
2534	哔哩哔哩数字周边	全图鉴出框头像-良辰共此曲-玉砌
2536	哔哩哔哩数字周边	全图鉴出框头像-MEEM镜面模因-深海幻境·展麟
2537	哔哩哔哩数字周边	全图鉴出框头像-MEEM镜面模因出框头像-吕和今
2538	哔哩哔哩数字周边	全图鉴出框头像-MEEM镜面模因出框头像-林亚
2539	哔哩哔哩数字周边	全图鉴出框头像-MEEM镜面模因出框头像-伊梦
2540	哔哩哔哩数字周边	全图鉴出框头像-MEEM镜面模因出框头像-卡弥洛
2541	哔哩哔哩数字周边	全图鉴出框头像-MEEM镜面模因出框头像-TyrNoir
